Description,VoteCount,Rating,Year,Title,Genres,Season_Count,Episode_Count,Production_Companies,Actors
"Selim, whose daughter was killed, does his own research to shed light on the incident, whose perpetrators could not be found, and questions the defendants on live broadcast and leaves the decision to the audience.",105.0,7.2,2023–,Adalett,"Action, Back to top",1 seasons,10,Vernant DP,"Yurdaer Okur, Burak Sergen, Erdem Kaynarca, Yurdaer Okur, Burak Sergen, Erdem Kaynarca"
,12.0,4.5,2005–,%100 Futbol,"Sport, Back to top",1 seasons,9,,"Ridvan Dilmen, Erbatur Ergenekon, Murat Kosova, Ridvan Dilmen, Erbatur Ergenekon, Murat Kosova"
"Men and women of all ages address the audience. It ironies with relativity. It goes in the house, in the car, in the shopping, on the vacation, in the sports center, and everywhere imaginable. It tells funny situations that every couple in the world can live.",454.0,7.7,2014–2015,1 Erkek 1 Kadin 2 Cocuk,"Comedy, Back to top",1 seasons,33,,"Demet Evgar, Emre Karayel, Demet Evgar, Emre Karayel"
About Love Bugs focus on humorous and universally recognized differences between men and women.,5700.0,7.8,2008–2015,1 Kadın 1 Erkek,"Comedy, Back to top",8 seasons,435,"Bando TV, 1k1e Production, Ortaks Yapim","Demet Evgar, Emre Karayel, Deniz Degirmenci, Demet Evgar, Emre Karayel, Deniz Degirmenci"
Two ex-lovers Ezgi and Memet decide to take 10 thousand steps by walking together every day. Different things happen to them every day. But they still keep taking steps every day.,2200.0,7.8,2020–,10 Bin Adim,"Comedy, Drama, Back to top",2 seasons,20,Zamkinos,"Engin Günaydin, Devin Özgür Çinar, Bugu Selen Somer, Engin Günaydin, Devin Özgür Çinar, Bugu Selen Somer"
"A legendary team that still holds the record for wins, points and goals in the history of the Super League. The story of Fenerbahçe's unforgettable 1988-89 season - In this 4-part documentary, the heroes of success tell about those days themselves.",70.0,8.0,2021,103 Gol,"Documentary, Sport, Back to top",1 seasons,4,,"Toni Schumacher, Aykut Kocaman, Ridvan Dilmen, Toni Schumacher, Aykut Kocaman, Ridvan Dilmen"
,0.0,,2010,12 Eylül 1980 Darbe,"Documentary, Back to top",1 seasons,4,,"Onur Ayçelik, Aynur Alp, Mehmet Sarikaya, Onur Ayçelik, Aynur Alp, Mehmet Sarikaya"
,0.0,,2017,15 Dakika,"Documentary, Biography, Back to top",1 seasons,3,,"Yasar Duran, Fevzi Tuncay, Ciguli, Yasar Duran, Fevzi Tuncay, Ciguli"
Magazine and gossip world of celebrities.,12.0,3.4,2010–,2.Sayfa,"News, Talk-Show, Back to top",4 years,10,,"Müge Dagistanli, Gülsen Yüksel, Emir can Yurtlak, Müge Dagistanli, Gülsen Yüksel, Emir can Yurtlak"
An innocent pastrycook Melek gets accused of injuring an important politician's son. Her loving husband Ali wants to help his wife to escape from prison.,3000.0,7.6,2013,20 Dakika,"Action, Drama, Romance, Back to top",1 seasons,25,Ay Yapim,"Tuba Büyüküstün, Ilker Aksum, Firat Çelik, Tuba Büyüküstün, Ilker Aksum, Firat Çelik"
,0.0,,2013–2014,2010-2011 TFF Lig,"Sport, Back to top",2 seasons,38,,"Denizlispor, Emin Aladag, Ahmet Cebe, Denizlispor, Emin Aladag, Ahmet Cebe"
,0.0,,2011–2012,2011-2012 TFF Lig,"Sport, Back to top",2 seasons,34,,"Denizlispor, Emin Aladag, Ragip Basdag, Denizlispor, Emin Aladag, Ragip Basdag"
"The 2012-13 Süper Lig was the 55th season of the Süper Lig, the highest football league of Turkey.",33.0,6.6,2012–2013,2012-2013 Süper Lig,"Sport, Back to top",2 years,12,Turkey Football Federation,"Galatasaray S.K., Fenerbahçe S.K., Besiktas J.K., Galatasaray S.K., Fenerbahçe S.K., Besiktas J.K."
