VoteCount,Rating,Title,Season_Count,Episode_Count,Production_Companies,Actors,cat_drama,cat_family,cat_action,cat_comedy,cat_romance,cat_adventure,cat_crime,cat_thriller,cat_horror,cat_mystery,cat_war,cat_fantasy,cat_sci-fi,cat_music,cat_biography,cat_documentary,cat_news,cat_sport,cat_animation,cat_reality-tv,cat_talk-show,cat_game-show,Release_Year,IsEnded
105.0,7.2,Adalett,1,10,Vernant DP,"Yurdaer Okur, Burak Sergen, Erdem Kaynarca",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,0
12.0,4.5,%100 Futbol,1,9,,"Ridvan Dilmen, Erbatur Ergenekon, Murat Kosova",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2005,0
454.0,7.7,1 Erkek 1 Kadin 2 Cocuk,1,33,,"Demet Evgar, Emre Karayel",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,1
5700.0,7.8,1 Kadın 1 Erkek,8,435,"Bando TV, 1k1e Production, Ortaks Yapim","Demet Evgar, Emre Karayel, Deniz Degirmenci",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,1
2200.0,7.8,10 Bin Adim,2,20,Zamkinos,"Engin Günaydin, Devin Özgür Çinar, Bugu Selen Somer",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,0
70.0,8.0,103 Gol,1,4,,"Toni Schumacher, Aykut Kocaman, Ridvan Dilmen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2021,1
0.0,5.667680105750162,12 Eylül 1980 Darbe,1,4,,"Onur Ayçelik, Aynur Alp, Mehmet Sarikaya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2010,1
0.0,5.667680105750162,15 Dakika,1,3,,"Yasar Duran, Fevzi Tuncay, Ciguli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2017,1
12.0,3.4,2.Sayfa,4,10,,"Müge Dagistanli, Gülsen Yüksel, Emir can Yurtlak",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2010,0
3000.0,7.6,20 Dakika,1,25,Ay Yapim,"Tuba Büyüküstün, Ilker Aksum, Firat Çelik",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1
0.0,5.667680105750162,2010-2011 TFF Lig,2,38,,"Denizlispor, Emin Aladag, Ahmet Cebe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,1
0.0,5.667680105750162,2011-2012 TFF Lig,2,34,,"Denizlispor, Emin Aladag, Ragip Basdag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2011,1
33.0,6.6,2012-2013 Süper Lig,2,12,Turkey Football Federation,"Galatasaray S.K., Fenerbahçe S.K., Besiktas J.K.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,1
33.0,6.5,2013-2014 Süper Lig,1,26,Turkey Football Federation,"Galatasaray S.K., Fenerbahçe S.K., Besiktas J.K.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,1
0.0,5.667680105750162,2013-2014 TFF Lig,2,36,,"Denizlispor, Baris Örücü, Kahê",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,1
32.0,6.4,2014-2015 Süper Lig,1,26,Turkey Football Federation,"Galatasaray S.K., Fenerbahçe S.K., Besiktas J.K.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,1
0.0,5.667680105750162,2014-2015 TFF Lig,2,34,,"Denizlispor, Veli Acar, Mehmet Cansin Çiçek",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,1
34.0,6.3,2015-2016 Süper Lig,1,26,Turkey Football Federation,"Galatasaray S.K., Fenerbahçe S.K., Besiktas J.K.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,1
0.0,5.667680105750162,2015-2016 TFF Lig,2,34,,"Denizlispor, Furkan Seker, Leandrinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,1
32.0,6.4,2016-2017 Süper Lig,1,26,Turkey Football Federation,"Galatasaray S.K., Fenerbahçe S.K., Besiktas J.K.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,1
0.0,5.667680105750162,2016-2017 TFF Lig,2,34,Turkey Football Federation,"Denizlispor, Ziya Alkurt, Baris Örücü",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,1
32.0,6.4,2017-2018 Süper Lig,2,14,Turkey Football Federation,"Galatasaray S.K., Fenerbahçe S.K., Besiktas J.K.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2017,1
0.0,5.667680105750162,2017-2018 TFF Lig,2,34,Turkey Football Federation,"Denizlispor, Baris Örücü, Burak Altiparmak",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2017,1
35.0,6.4,2018-2019 Süper Lig,2,16,Turkey Football Federation,"Hugo Rodallega, Anthony Nwakaeme, Ünal Karaman",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2018,1
0.0,5.667680105750162,2018-2019 TFF Lig,2,36,Turkey Football Federation,"Denizlispor, Mehmet Akyüz, Ismail Aissati",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2018,1
32.0,5.5,2019-2020 Süper Lig,2,168,Turkey Football Federation,"Taraftar Tv, Galatasaray S.K., Denizlispor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,1
0.0,5.667680105750162,2019-2020 Turkish Cup,2,43,Turkey Football Federation,"Denizlispor, Sedat Sahintürk, Tolgahan Acar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,1
