VoteCount,Rating,Title,Season_Count,Episode_Count,Actors,cat_drama,cat_family,cat_action,cat_comedy,cat_romance,cat_adventure,cat_crime,cat_thriller,cat_horror,cat_mystery,cat_war,cat_fantasy,cat_sci-fi,cat_music,cat_biography,cat_documentary,cat_news,cat_sport,cat_animation,cat_reality-tv,cat_talk-show,cat_game-show,Release_Year,IsEnded,Classification_Int
105.0,7.2,Adalett,1,10,"Yurdaer Okur, Burak Sergen, Erdem Kaynarca",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,0,1
12.0,4.5,%100 Futbol,1,9,"Ridvan Dilmen, Erbatur Ergenekon, Murat Kosova",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2005,0,1
454.0,7.7,1 Erkek 1 Kadin 2 Cocuk,1,33,"Demet Evgar, Emre Karayel",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,1,1
5700.0,7.8,1 Kadın 1 Erkek,8,435,"Demet Evgar, Emre Karayel, Deniz Degirmenci",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,1,4
2200.0,7.8,10 Bin Adim,2,20,"Engin Günaydin, Devin Özgür Çinar, Bugu Selen Somer",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,0,2
70.0,8.0,103 Gol,1,4,"Toni Schumacher, Aykut Kocaman, Ridvan Dilmen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2021,1,1
0.0,5.667680105750162,12 Eylül 1980 Darbe,1,4,"Onur Ayçelik, Aynur Alp, Mehmet Sarikaya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2010,1,1
0.0,5.667680105750162,15 Dakika,1,3,"Yasar Duran, Fevzi Tuncay, Ciguli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2017,1,1
12.0,3.4,2.Sayfa,5,460,"Müge Dagistanli, Gülsen Yüksel, Emir can Yurtlak",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2010,0,3
3000.0,7.6,20 Dakika,1,25,"Tuba Büyüküstün, Ilker Aksum, Firat Çelik",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1,1
0.0,5.667680105750162,2010-2011 TFF Lig,2,38,"Denizlispor, Emin Aladag, Ahmet Cebe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,1,2
0.0,5.667680105750162,2011-2012 TFF Lig,2,34,"Denizlispor, Emin Aladag, Ragip Basdag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2011,1,2
