Description,VoteCount,Rating,Year,Title
"Aile is a story of Aslan who is the son of a large family, runs a nightclub. An extremely shrewd man. He is a dark and mysterious character. Psychologist Devin will enter the life of this difficult man and it becomes intense.",2200.0,6.6,2023–,1. Aile
"The life of a young boy named Yaman growing up on the streets, along with his friends, as they face challenges of survival.",765.0,7.3,2023–,2. Yabani
A famous tailor begins to sew a wedding dress for his best friend's fiance- but all three have dark secrets that will soon upend their lives.,5000.0,6.2,2023,3. Terzi
"The brutal murder of Hamdi Atilbay brings together the paths of young prosecutor Leyla, and a famous journalist Kenan. However, this murder is covered with facts that will also destroy their love.",2100.0,7.2,2023,4. Bambaşka Biri
Farah is a 28-year-old Iranian doctor who works illegally as a cleaner in Istanbul and witnesses a murder committed by the mafia.,3200.0,6.4,2023,5. Adım Farah
"Bongomia is a country that no one cares about, in a history that no one cares about. After the sudden and suspicious death of Thun, king of Bongomia, a complicated story begins when the Prince, whom no one takes seriously and whose family does not even bother to name, comes to the throne.",2000.0,8.0,2023–,6. Prens
"The intersection of Yasemin and Fidan's paths, who have no common ground except motherhood, marks the beginning of their struggle for survival, supporting each other in life.",97.0,6.4,2023–,7. Ne Gemiler Yaktim
"It is a hopeful story of a family starting over in Adana and extending to Istanbul, with an impressive atmosphere.",72.0,5.5,2023–,8. Sandik Kokusu
The series followed Halil Ibrahim as he seeks revenge for the death of the love of his life. His plans are derailed when he meets Zeynep from the Leto family.,439.0,6.7,2023–,9. Hudutsuz Sevda
"The life of Muslim ruler Saladin and he conquered Jerusalem. Furthermore, it focuses on his battles against the Crusaders and his goal to unite the Muslim territories of Syria, northern Mesopotamia, Palestine and Egypt under his rule.",897.0,5.0,2023–,10. Kudüs Fatihi Selahaddin Eyyubi
"When Sahsu goes to Adana for a lecture, it's the perfect chance to face her estranged grandfather. But soon, she finds herself in the midst of a legend.",6700.0,5.2,2023–,11. Şahmaran
"Ates was sent to boarding school after his mother's death and never returned home. He trusts no one. Leyla, on the other hand, has never known her family and earns money by cheating. What will happen when they cross paths?",3100.0,6.8,2023,12. Ya Çok Seversen
"An encounter between Incila, Naz's despised assistant and Mete begins to change the direction of Naz's future, where she plans everything with Mete with a toxic passion.",278.0,4.6,2023–,13. Sakla Beni
"Yaman and Feraye, who have kept a great love hidden from everyone since childhood, have very little time left before they are reunited again.",639.0,6.3,2023–,14. Safir
"Hiding a mysterious past, a mother lives like a nameless fugitive with her daughter as they make hotels their home and see everyone else as a threat.",3900.0,5.8,2023,15. Biz Kimden Kaçıyorduk Anne?
Abandoned by his mother as a boy. A man years later vows to get revenge on the mom and her new family all while unknowingly falling in love with her adopted daughter.,1300.0,7.2,2023,16. Gülcemal
"Dr. Nilüfer is constantly pursuing a secret that could jeopardize her work, which will lead to a major conflict with the inflexible prosecutor Ömer (Mert Firat).",167.0,7.2,2023,17. Bir Derdim Var
"The love story of Onur, the heir of the Beyoglu family, one of the richest people in the country, and the idealist Zeynep, who is a teacher at the family's school, for which they will pay a high price.",63.0,4.6,2023,18. Altin Kafes
"Full of intrigue, love, and emotion, Sebnem's unsettling life of being born with great injustices, working hard to overcome them, doing what was necessary to do so, and now trying to rid herself of her criminal past.",188.0,5.3,2023–,19. Sahane Hayatim
"The story of Turkey's most famous actress, who lives a bright life during the day and transitions to a dark world at night.",1800.0,5.4,2023–,20. Aktris
"Most street children do not reach the age of twenty. It cannot be said that those who saw it have lived. Drugs, violence, sexual harassment, starvation - the fate of street children is jail or the grave.",421.0,6.3,2023–,21. Ates Kuslari
"Ates, one of the most famous basketball players in the country, and his wife Deniz are happily married. As Ates's name gets involved in a big scandal, their lives are turned upside down.",325.0,5.2,2023,22. Kraliçe
"It centers on the struggle of the Kurak family, which trades in citrus fruits in Saribahce, both with each other and with foreign powers that want dominance in the region.",1100.0,7.8,2023–,23. Magarsus
"The lives of Istanbul's richest and most powerful families. Their maids, who are exposed to the secrets, mysteries and crimes hidden behind the closed doors of these houses, often become a part of them.",238.0,5.8,2023–,24. Kirli Sepeti
"In 13th century Anatolia, as the Mongol threat looms and internal turmoil rages, Rumi, a wise spiritual figure, emerges to assuage people's fears. His timeless words unite reason and compassion, inspiring change.",536.0,7.9,2023,25. Rumi
